id,titulo,precio_usd,dormitorios,banos,m2,m2_construidos,zona,latitud,longitud,anio_construccion,antiguedad_anos,es_proyecto,estado,link,imagen
188360779,Apartamento - Roosevelt,165000.0,1.0,1.0,61.0,61.0,Roosevelt,-34.9263198,-54.9486407,,,False,1,https://www.infocasas.com.uy/apartamento-roosevelt/188360779,https://cdn1.infocasas.com.uy/web/6154d06a20def_infocdn.jpg#HASTH
191209891,Venta Apartamento 2 dormitorios La Pastora Punta del Este Torre con amenities,355000.0,2.0,3.0,80.0,80.0,La Pastora,-34.9519368,-54.9359965,,,False,1,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-la-pastora-punta-del-este-torre-con-amenities/191209891,https://cdn1.infocasas.com.uy/web/66b471c04853e_infocdn.jpg
186742932,Departamento - Punta del Este,890000.0,5.0,0.0,227.0,227.0,Punta del Este,-34.9615493,-54.9458188,,,False,1,https://www.infocasas.com.uy/departamento-punta-del-este/186742932,https://cdn1.infocasas.com.uy/web/61046426b88ae_infocdn.jpg#HASTH
190278228,Apartamento frente al mar de tres dormitorios en Penisnula de Punta del este,700000.0,3.0,2.0,115.0,154.0,Península,0,0,,,False,1,https://www.infocasas.com.uy/apartamento-frente-al-mar-de-tres-dormitorios-en-penisnula-de-punta-del-este/190278228,https://cdn1.infocasas.com.uy/repo/img/405_CCP-34419-TRA_515.jpg
190848750,Apartamento Dos Dormitorios a Estrenar en Maldonado,125000.0,2.0,1.0,57.0,93.0,Maldonado,0,0,2023.0,,False,1,https://www.infocasas.com.uy/apartamento-dos-dormitorios-a-estrenar-en-maldonado/190848750,https://cdn1.infocasas.com.uy/repo/img/405_CCP-34524-TRA_426.jpg
191346757,"Art Tower en venta de tres dormitorios, Punta del Este.",550000.0,3.0,3.0,135.0,165.0,Playa Mansa,-34.95181136319372,-54.93605767686847,,,False,1,https://www.infocasas.com.uy/art-tower-en-venta-de-tres-dormitorios-punta-del-este/191346757,https://cdn1.infocasas.com.uy/repo/img/405_CCP-32038-TRA_967.jpg
191445295,Apartamento de un dormitorio en edificio Surfside,495000.0,1.0,2.0,80.0,115.0,Playa Brava,0,0,2022.0,,False,1,https://www.infocasas.com.uy/apartamento-de-un-dormitorio-en-edificio-surfside/191445295,https://cdn1.infocasas.com.uy/repo/img/405_CCP-36905-TRA_706.jpg
192185324,Walmer Lagoon en venta,395000.0,2.0,3.0,83.0,143.0,Playa Mansa,-34.91004881401068,-55.00319861342773,2022.0,,False,1,https://www.infocasas.com.uy/walmer-lagoon-en-venta/192185324,https://cdn1.infocasas.com.uy/repo/img/405_CCP-34762-TRA_916.jpg
192193494,"Venta y alquiler anual o invernal de apartamento en Playa Brava, Punta del Este",310000.0,2.0,2.0,90.0,110.0,Playa Brava,0,0,,,False,1,https://www.infocasas.com.uy/venta-y-alquiler-anual-o-invernal-de-apartamento-en-playa-brava-punta-del-este/192193494,https://cdn1.infocasas.com.uy/repo/img/405_CCP-25860-TRA_189.jpg
192089337,Apartamento de lujo en Surfside – Doceava Planta con Vistas Increíbles,458700.0,1.0,2.0,80.0,115.0,Playa Brava,0,0,2022.0,,False,1,https://www.infocasas.com.uy/apartamento-de-lujo-en-surfside-–-doceava-planta-con-vistas-increibles/192089337,https://cdn1.infocasas.com.uy/repo/img/405_CCP-37867-TRA_928.jpg
192324072,Espectaculares residencias  a estrenar en  Bikini Beach Manantiales,3800000.0,4.0,4.0,275.0,0.0,Manantiales,-34.905334376678205,-54.829249431686385,,,False,1,https://www.infocasas.com.uy/espectaculares-residencias-a-estrenar-en-bikini-beach-manantiales/192324072,https://cdn1.infocasas.com.uy/repo/img/405_CCP-32075-TRA_764.jpg
193241363,Hermoso Apartamento en excelente ubicación en Punta Del Este,175000.0,2.0,1.0,57.0,86.0,Roosevelt,0,0,,,False,1,https://www.infocasas.com.uy/hermoso-apartamento-en-excelente-ubicacion-en-punta-del-este/193241363,https://cdn1.infocasas.com.uy/repo/img/405_CCP-39498-TRA_96.jpg
